Month,Workforce,,,,,,,,,
1/05/2018,1056,,,,,,,,,
1/06/2018,965,,,,,,,,,
1/07/2018,1073,,,,,,,,,
1/08/2018,1045,,,,,,,,,
1/09/2018,1062,,,,,,,,,
1/10/2018,1101,,,,,,,,,
1/11/2018,1438,,,,,,,,,
1/12/2018,1479,,,,,,,,,
1/01/2019,1139,,,,,,,,,
1/02/2019,1262,,,,,,,,,
1/03/2019,1258,,,,,,,,,
1/04/2019,1175,,,,,,,,,
1/05/2019,1341,,,,,,,,,
1/06/2019,1374,,,,,,,,,
1/07/2019,1349,,,,,,,,,
1/08/2019,1291,,,,,,,,,
1/09/2019,1255,,,,,,,,,
1/10/2019,1368,,,,,,,,,
1/11/2019,1600,,,,,,,,,
1/12/2019,1685,,,,,,,,,
1/01/2020,1338,,,,,,,,,
1/02/2020,1378,,,,,,,,,
1/03/2020,1349,,,,,,,,,
1/04/2020,1367,,,,,,,,,
1/05/2020,1333,,,,,,,,,
1/06/2020,1423,,,,,,,,,
1/07/2020,1341,,,,,,,,,
1/08/2020,1356,,,,,,,,,
1/09/2020,1433,,,,,,,,,
1/10/2020,1274,,,,,,,,,
1/11/2020,1582,,,,,,,,,
1/12/2020,1699,,,,,,,,,
1/01/2021,1299,,,,,,,,,
1/02/2021,1463,,,,,,,,,
1/03/2021,1354,,,,,,,,,
1/04/2021,1349,,,,,,,,,
1/05/2021,1496,,,,,,,,,
1/06/2021,1488,,,,,,,,,
1/07/2021,1524,,,,,,,,,
1/08/2021,1494,,,,,,,,,
1/09/2021,1425,,,,,,,,,
1/10/2021,1585,,,,,,,,,
1/11/2021,1799,,,,,,,,,
1/12/2021,1876,,,,,,,,,
1/01/2022,1608,,,,,,,,,
1/02/2022,1578,,,,,,,,,
1/03/2022,1643,,,,,,,,,
1/04/2022,1685,,,,,,,,,
1/05/2022,1685,,,,,,,,,
1/06/2022,1638,,,,,,,,,
1/07/2022,1735,,,,,,,,,
1/08/2022,1812,,,,,,,,,
1/09/2022,1737,,,,,,,,,
1/10/2022,1789,,,,,,,,,
1/11/2022,2098,,,,,,,,,
1/12/2022,2235,,,,,,,,,
1/01/2023,1897,,,,,,,,,
1/02/2023,1904,,,,,,,,,
1/03/2023,1863,,,,,,,,,
1/04/2023,1945,,,,,,,,,
1/05/2023,1899,,,,,,,,,
1/06/2023,1947,,,,,,,,,
1/07/2023,1925,,,,,,,,,
1/08/2023,2001,,,,,,,,,
1/09/2023,2004,,,,,,,,,
1/10/2023,1971,,,,,,,,,
1/11/2023,2307,,,,,,,,,
1/12/2023,2236,,,,,,,,,
1/01/2024,1919,,,,,,,,,
1/02/2024,2018,,,,,,,,,
1/03/2024,2006,,,,,,,,,
1/04/2024,2030,,,,,,,,,
1/05/2024,2119,,,,,,,,,
