S.No.,EmployeeID,Managerial Status,Team Size,Work Schedule Flexibility,Project Type,Tenure,Work Hours Per Week,Commute Distance,Churn
1,7590-VHVEG, Non-Manager ,Small,Fixed,Maintenance,7,29.4925,1.06, No 
2,5575-GNVDE, Manager ,Medium,Flexible,Development,40,30.8475,4.779, No 
3,3668-QPYBK, Manager ,Small,Fixed,Development,8,30.6925,1.2163, Yes 
4,7795-CFOCW, Non-Manager ,Medium,Flexible,Research,51,30.115,4.6815, No 
5,9237-HQITU, Manager ,Small,Fixed,Maintenance,8,31.535,1.3033, Yes 
6,9305-CDSKC, Manager ,Small,Fixed,Maintenance,14,32.9825,2.641, Yes 
7,1452-KIOVK, Manager ,Small,Fixed,Support,28,32.455,4.8988, No 
8,6713-OKOMC, Non-Manager ,Small,Flexible,Development,16,29.4875,1.6038, No 
9,7892-POOKP, Manager ,Small,Fixed,Maintenance,34,33.24,7.0921, Yes 
10,6388-TABGU, Manager ,Medium,Flexible,Research,68,30.8075,7.9759, No 
11,9763-GRSKD, Manager ,Small,Fixed,Development,19,30.4975,2.1749, No 
12,7469-LKBCI, Manager ,Large,Flexible,Support,22,28.9475,1.6536, No 
13,8091-TTVAX, Manager ,Medium,Flexible,Support,64,33.0175,12.3622, No 
14,0280-XJGEX, Manager ,Small,Fixed,Research,55,33.185,11.0726, Yes 
15,5129-JLPIS, Manager ,Small,Fixed,Maintenance,31,33.275,6.3721, No 
16,3655-SNQYZ, Manager ,Large,Flexible,Support,75,33.6625,16.7903, No 
17,8191-XWSZG, Manager ,Medium,Flexible,Development,58,29.0325,3.0459, No 
18,9959-WOFKT, Manager ,Large,Flexible,Research,77,33.335,15.7645, No 
19,4190-MFLUW, Manager ,Small,Flexible,Support,16,30.76,2.0567, Yes 
20,4183-MYFRB, Manager ,Small,Fixed,Maintenance,27,32.5025,4.7258, No 
21,8779-QRDMV, Non-Manager ,Small,Fixed,Maintenance,7,29.9825,1.0793, Yes 
22,1680-VDCWW, Manager ,Medium,Flexible,Research,18,28.99,1.4045, No 
23,1066-JKSGK, Manager ,Small,Flexible,Development,7,29.0075,1.0403, Yes 
24,3638-WEABW, Manager ,Large,Fixed,Support,64,30.995,8.0102, No 
25,6322-HRPFA, Manager ,Small,Flexible,Support,55,30.98,6.9406, No 
26,6865-JZNKO, Manager ,Small,Fixed,Research,36,30.765,4.0612, No 
27,6467-CHFZW, Manager ,Small,Fixed,Maintenance,53,32.9675,10.4983, Yes 
28,8665-UTDHZ, Non-Manager ,Small,Flexible,Maintenance,7,29.51,1.0604, Yes 
29,5248-YGIJN, Manager ,Large,Fixed,Support,78,32.5125,13.7389, No 
30,8773-HHUOZ, Manager ,Small,Fixed,Development,23,31.235,3.1862, Yes 
31,3841-NFECX, Manager ,Large,Fixed,Support,77,32.8175,14.5339, No 
32,4929-XIHVW, Manager ,Small,Fixed,Support,8,32.775,1.3633, No 
33,6827-IEAUQ, Manager ,Medium,Flexible,Development,33,31.3075,4.7489, No 
34,7310-EGVHZ, Manager ,Small,Flexible,Research,7,29.01,1.0404, No 
35,3413-BMNZE, Manager ,Small,Flexible,Research,7,30.2625,1.0905, No 
36,6234-RAAPL, Manager ,Large,Flexible,Research,78,32.995,15.5034, No 
37,6047-YHPVI, Manager ,Small,Fixed,Maintenance,11,31.485,1.6338, Yes 
38,6572-ADKRS, Manager ,Small,Fixed,Support,52,31.74,8.0966, No 
39,5380-WJKOV, Manager ,Small,Fixed,Maintenance,40,33.3175,8.0985, Yes 
40,8168-UQWWF, Manager ,Small,Fixed,Research,17,32.8925,3.2108, Yes 
41,8865-TNMNX, Manager ,Medium,Flexible,Development,16,30.4775,1.9514, No 
42,9489-DEDVP, Manager ,Large,Fixed,Support,76,31.46,10.7447, No 
43,9867-JCZSP, Manager ,Medium,Flexible,Development,23,29.0375,1.8365, No 
44,4671-VJLCL, Manager ,Large,Fixed,Support,69,31.9925,10.7229, No 
45,4080-IIARD, Manager ,Small,Fixed,Maintenance,19,31.81,2.9629, No 
46,3714-NTNFO, Manager ,Small,Fixed,Maintenance,55,32.225,8.8134, No 
47,5948-UJZLF, Manager ,Small,Flexible,Development,8,30.4625,1.194, No 
48,7760-OYPDY, Manager ,Small,Fixed,Maintenance,8,32.0325,1.2883, Yes 
49,7639-LIAYI, Manager ,Large,Fixed,Support,58,31.9875,9.4356, No 
50,2954-PIBKO, Manager ,Large,Fixed,Support,75,31.2075,9.5082, No 
51,8012-SOUDQ, Manager ,Small,Fixed,Maintenance,49,32.5125,8.6775, No 
52,9420-LOJKX, Manager ,Small,Fixed,Support,21,32.955,3.8528, Yes 
53,6575-SUVOI, Manager ,Small,Fixed,Support,31,31.475,4.5053, No 
54,7495-OOKFY, Manager ,Small,Fixed,Support,14,32.0325,2.2666, Yes 
55,4667-QONEA, Manager ,Medium,Fixed,Support,66,31.7425,9.9127, No 
56,1658-BYGOY, Manager ,Small,Fixed,Maintenance,24,32.7725,4.5051, Yes 
57,8769-KKTPH, Manager ,Medium,Fixed,Support,69,32.9825,13.6224, No 
58,5067-XJQFU, Manager ,Medium,Fixed,Maintenance,72,33.4225,15.1527, No 
59,3957-SQXML, Manager ,Large,Flexible,Support,40,29.2475,2.7886, No 
60,5954-BDFSG, Manager ,Large,Fixed,Support,78,33.375,16.7074, No 
61,0434-CSFON, Manager ,Small,Fixed,Maintenance,53,33.025,10.4142, No 
62,1215-FIGMP, Manager ,Small,Fixed,Research,66,32.495,11.9014, No 
63,0526-SXDJP, Non-Manager ,Large,Flexible,Research,78,30.105,6.924, No 
64,0557-ASKVU, Manager ,Medium,Fixed,Support,24,30.72,2.9142, No 
65,5698-BQJOH, Manager ,Small,Flexible,Maintenance,15,32.72,2.7145, Yes 
66,5122-CYFXA, Manager ,Small,Fixed,Maintenance,9,31.765,1.4882, No 
67,8627-ZYGSZ, Manager ,Medium,Fixed,Maintenance,53,31.945,8.3007, No 
68,3410-YOQBQ, Manager ,Large,Flexible,Development,37,31.96,5.9944, No 
69,3170-NMYVV, Manager ,Large,Flexible,Research,56,29.0075,2.8618, No 
70,7410-OIEDU, Manager ,Small,Fixed,Development,16,31.9925,2.7747, No 
71,2273-QCKXA, Manager ,Small,Flexible,Development,7,30.4525,1.0981, No 
72,0731-EBJQB, Manager ,Medium,Fixed,Maintenance,58,29.02,3.1813, No 
73,1891-QRQSA, Manager ,Large,Fixed,Research,70,33.58,15.198, No 
74,8028-PNXHQ, Manager ,Large,Fixed,Research,68,29.2125,3.8492, No 
75,5630-AHZIL, Manager ,Small,Fixed,Research,9,31.225,1.3548, No 
76,2673-CXQEU, Manager ,Medium,Flexible,Maintenance,62,33.525,13.279, No 
77,6416-JNVRK, Manager ,Medium,Flexible,Support,52,30.7825,6.3777, No 
78,5590-ZSKRV, Manager ,Small,Flexible,Development,14,30.7325,1.9645, No 
79,0191-ZHSKZ, Manager ,Small,Fixed,Maintenance,36,31.7375,5.2226, No 
80,3887-PBQAO, Manager ,Medium,Fixed,Support,51,29.295,3.4332, No 
