RandomID,JS,BO,TOI,CF,CS,YearsinIT,Gender,Age,Marital
1,96,65.08378638,21,62.24066041,29.43417839,2,Male,25,Unmarried
2,126,57.27396501,21,55.38889135,30.9588091,6,Male,28,Unmarried
3,92,66.64575066,21,62.24066041,32.48343982,1,Male,22,Married
4,87,68.20771493,21,62.24066041,34.00807053,9,Male,55,Married
5,74,69.76967921,21,50.25006456,34.00807053,2,Male,25,Unmarried
6,96,66.64575066,13,53.67594909,34.00807053,1,Male,26,Unmarried
7,91,60.39789356,20,58.81477588,35.53270125,11,Male,35,Unmarried
8,95,63.52182211,18,67.3794872,35.53270125,3,Male,36,Unmarried
9,141,51.02610792,21,39.97241098,35.53270125,30,Male,54,Unmarried
10,90,63.52182211,21,55.38889135,37.05733196,4,Male,32,Unmarried
11,99,60.39789356,21,46.82418004,37.05733196,25,Male,55,Married
12,122,57.27396501,21,45.11123777,37.05733196,3,Male,27,Married
13,115,58.83592929,16,41.68535325,37.05733196,10,Female,29,Married
14,122,51.02610792,19,39.97241098,37.05733196,1,Female,24,Unmarried
15,127,54.15003647,21,36.54652646,37.05733196,2,Male,24,Married
16,90,68.20771493,21,70.80537172,38.58196268,1,Male,28,Married
17,121,57.27396501,15,65.66654493,38.58196268,1,Male,23,Unmarried
18,72,71.33164348,21,70.80537172,38.58196268,1,Female,30,Unmarried
19,96,60.39789356,13,41.68535325,38.58196268,4,Male,29,Married
20,111,54.15003647,12,50.25006456,40.10659339,8,Male,38,Married
21,97,63.52182211,18,51.96300683,40.10659339,1,Female,23,Unmarried
22,132,47.90217937,15,34.83358419,40.10659339,9,Male,35,Unmarried
23,94,66.64575066,21,51.96300683,40.10659339,3,Female,35,Married
24,115,58.83592929,20,53.67594909,41.63122411,17,Female,40,Married
25,97,65.08378638,21,60.52771814,41.63122411,1,Male,22,Unmarried
26,119,52.58807219,21,45.11123777,41.63122411,6,Male,31,Unmarried
27,93,51.02610792,21,41.68535325,41.63122411,6,Female,28,Unmarried
28,90,66.64575066,21,58.81477588,41.63122411,6,Female,32,Unmarried
29,92,61.95985784,16,58.81477588,41.63122411,2,Male,27,Unmarried
30,123,57.27396501,19,53.67594909,41.63122411,10,Male,34,Unmarried
31,76,69.76967921,21,72.51831399,41.63122411,2,Male,25,Unmarried
32,138,52.58807219,11,46.82418004,43.15585482,2,Male,30,Married
33,123,49.46414364,12,45.11123777,43.15585482,6,Male,38,Married
34,109,58.83592929,19,48.5371223,43.15585482,3,Male,25,Unmarried
35,122,55.71200074,19,46.82418004,43.15585482,4,Male,25,Married
36,109,52.58807219,16,55.38889135,43.15585482,3,Male,29,Unmarried
37,99,63.52182211,16,55.38889135,43.15585482,12,Male,36,Married
38,149,47.90217937,15,50.25006456,43.15585482,5,Male,24,Married
39,152,49.46414364,10,57.10183362,43.15585482,1,Male,22,Unmarried
40,145,52.58807219,6,43.39829551,43.15585482,11,Female,36,Unmarried
41,154,51.02610792,12,36.54652646,43.15585482,14,Male,34,Unmarried
42,120,54.15003647,13,51.96300683,44.68048554,15,Male,52,Married
43,114,55.71200074,14,46.82418004,44.68048554,17,Male,40,Married
44,109,54.15003647,21,48.5371223,44.68048554,1,Male,23,Unmarried
45,102,58.83592929,16,65.66654493,44.68048554,10,Male,32,Married
46,127,43.21628655,15,46.82418004,44.68048554,3,Female,22,Unmarried
47,95,60.39789356,21,65.66654493,44.68048554,5,Male,27,Unmarried
48,123,47.90217937,21,53.67594909,44.68048554,6,Male,28,Married
49,99,61.95985784,8,57.10183362,44.68048554,1,Female,29,Married
50,94,65.08378638,20,72.51831399,44.68048554,1,Male,24,Married
51,127,57.27396501,18,39.97241098,44.68048554,20,Male,40,Married
52,113,49.46414364,16,46.82418004,46.20511625,2,Male,47,Married
53,92,61.95985784,14,60.52771814,46.20511625,7,Male,48,Unmarried
54,106,47.90217937,15,39.97241098,46.20511625,9,Female,30,Married
55,121,52.58807219,20,41.68535325,46.20511625,5,Female,30,Unmarried
56,156,47.90217937,14,41.68535325,46.20511625,1,Male,40,Married
57,136,41.65432227,12,38.25946872,46.20511625,1,Male,21,Married
58,141,44.77825082,14,53.67594909,46.20511625,2,Female,29,Married
59,100,51.02610792,21,60.52771814,46.20511625,25,Female,47,Unmarried
60,92,65.08378638,21,51.96300683,46.20511625,11,Female,35,Married
61,123,52.58807219,21,65.66654493,46.20511625,10,Female,33,Married
62,129,49.46414364,16,41.68535325,47.72974696,8,Female,34,Unmarried
63,101,46.3402151,8,48.5371223,47.72974696,32,Male,60,Unmarried
64,103,54.15003647,21,53.67594909,47.72974696,8,Male,33,Unmarried
65,97,51.02610792,17,45.11123777,47.72974696,4,Female,27,Unmarried
66,100,46.3402151,13,53.67594909,47.72974696,1,Female,23,Unmarried
67,109,55.71200074,21,58.81477588,47.72974696,3,Male,56,Unmarried
68,119,55.71200074,19,46.82418004,47.72974696,1,Female,23,Married
69,121,46.3402151,18,50.25006456,47.72974696,7,Male,32,Married
